app,version,sdk_min,method,type,checked_version,true_apis,false_apis,only_in_true_apis,only_in_false_apis,message,modified_files
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.vision.dialog.DialogUtil.getDialogBuilder(Landroid/content/Context;)Landroid/app/AlertDialog$Builder;,<=,13,android.app.AlertDialog$Builder.<init>(Landroid/content/Context;)V&android.app.AlertDialog$Builder.<init>(Landroid/content/Context;I)V,android.app.AlertDialog$Builder.<init>(Landroid/content/Context;I)V,android.app.AlertDialog$Builder.<init>(Landroid/content/Context;)V,"",,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.vision.dialog.DialogUtil.getDialogBuilder(Landroid/content/Context;)Landroid/app/AlertDialog$Builder;,<=,10,android.app.AlertDialog$Builder.<init>(Landroid/content/Context;)V,android.app.AlertDialog$Builder.<init>(Landroid/content/Context;I)V,android.app.AlertDialog$Builder.<init>(Landroid/content/Context;)V,android.app.AlertDialog$Builder.<init>(Landroid/content/Context;I)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.vision.view.CameraEntryActivity.onCreate(Landroid/os/Bundle;)V,<=,22,"",android.content.Context.getString(I)Ljava/lang/String;,"",android.content.Context.getString(I)Ljava/lang/String;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.voice.VoiceAssistantUtils.isVoiceAssistantSupported()Z,<=,13,"",android.content.pm.PackageManager.hasSystemFeature(Ljava/lang/String;)Z&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;,"",android.content.pm.PackageManager.hasSystemFeature(Ljava/lang/String;)Z&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mobile.mash.MASHWebFragment.onCreateAnimation(IZI)Landroid/view/animation/Animation;,<=,10,"",android.view.animation.Animation.setAnimationListener(Landroid/view/animation/Animation$AnimationListener;)V&android.view.View.setLayerType(ILandroid/graphics/Paint;)V&android.view.View.getLayerType()I,"",android.view.animation.Animation.setAnimationListener(Landroid/view/animation/Animation$AnimationListener;)V&android.view.View.setLayerType(ILandroid/graphics/Paint;)V&android.view.View.getLayerType()I,,0
cn.amazon.mShop.android,8.5.0.600,16,org.apache.cordova.engine.SystemWebChromeClient.onConsoleMessage(Ljava/lang/String;ILjava/lang/String;)V,!=,7,"",android.util.Log.d(Ljava/lang/String;Ljava/lang/String;)I&android.webkit.WebChromeClient.onConsoleMessage(Ljava/lang/String;ILjava/lang/String;)V,"",android.util.Log.d(Ljava/lang/String;Ljava/lang/String;)I&android.webkit.WebChromeClient.onConsoleMessage(Ljava/lang/String;ILjava/lang/String;)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mobile.mash.MASHWebView.enableMediaAutoplay()V,<=,16,"",android.webkit.WebView.getSettings()Landroid/webkit/WebSettings;&android.webkit.WebSettings.setMediaPlaybackRequiresUserGesture(Z)V,"",android.webkit.WebView.getSettings()Landroid/webkit/WebSettings;&android.webkit.WebSettings.setMediaPlaybackRequiresUserGesture(Z)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mShop.web.MShopWebView.initializeGlobalWebSettings(Landroid/webkit/WebView;)V,<=,20,"",android.webkit.WebSettings.setMixedContentMode(I)V,"",android.webkit.WebSettings.setMixedContentMode(I)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.mobile.mash.MASHContentDownloadHandler.modifyIntentWithActivityClearTaskFlag(Landroid/content/Intent;)V,<=,10,"",android.content.Intent.addFlags(I)Landroid/content/Intent;,"",android.content.Intent.addFlags(I)Landroid/content/Intent;,,0
cn.amazon.mShop.android,8.5.0.600,16,org.apache.cordova.engine.SystemWebViewEngine.exposeJsInterface(Landroid/webkit/WebView;Lorg/apache/cordova/CordovaBridge;)V,<=,16,android.util.Log.i(Ljava/lang/String;Ljava/lang/String;)I,android.webkit.WebView.addJavascriptInterface(Ljava/lang/Object;Ljava/lang/String;)V,android.util.Log.i(Ljava/lang/String;Ljava/lang/String;)I,android.webkit.WebView.addJavascriptInterface(Ljava/lang/Object;Ljava/lang/String;)V,,0
