app	version	api	times
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$UninterpretedOption$NamePart.toBuilder()Lcom/google/protobuf/DescriptorProtos$UninterpretedOption$NamePart$Builder;	2
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.SmallSortedMap.access$400(Lcom/google/protobuf/SmallSortedMap;)Ljava/util/List;	4
cn.amazon.mShop.android	8.5.0.600	android.support.graphics.drawable.VectorDrawableCommon.setChangingConfigurations(I)V	2
cn.amazon.mShop.android	8.5.0.600	android.widget.AdapterView.getSelectedItemPosition()I	15
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$DescriptorProto.getNestedType(I)Lcom/google/protobuf/DescriptorProtos$DescriptorProto;	3
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.RecyclerView$LayoutManager.setExactMeasureSpecsFrom(Landroid/support/v7/widget/RecyclerView;)V	3
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.nk.cX(Landroid/os/Parcel;)Lcom/google/android/gms/internal/ni;	1
cn.amazon.mShop.android	8.5.0.600	android.content.Context.getSystemService(Ljava/lang/String;)Ljava/lang/Object;	189
cn.amazon.mShop.android	8.5.0.600	android.view.MenuItem$OnActionExpandListener.onMenuItemActionCollapse(Landroid/view/MenuItem;)Z	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.AppBarLayout$Behavior.getMaxDragOffset(Landroid/support/design/widget/AppBarLayout;)I	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.CoordinatorLayout.ensurePreDrawListener()V	1
cn.amazon.mShop.android	8.5.0.600	android.support.graphics.drawable.VectorDrawableCompat.mutate()Landroid/graphics/drawable/Drawable;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.view.NestedScrollingParentHelper.getNestedScrollAxes()I	3
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.MessageOrBuilder.getDescriptorForType()Lcom/google/protobuf/Descriptors$Descriptor;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.view.ViewConfigurationCompat$ViewConfigurationVersionImpl.hasPermanentMenuKey(Landroid/view/ViewConfiguration;)Z	1
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.MapMaker.getExpireAfterWriteNanos()J	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.images.ImageManager$f.a(Lcom/google/android/gms/common/images/ImageManager$ImageReceiver;Z)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$FieldOptions.access$14202(Lcom/google/protobuf/DescriptorProtos$FieldOptions;Z)Z	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.media.MediaMetadataCompat$1.<init>()V	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$MessageOptions$Builder.setMessageSetWireFormat(Z)Lcom/google/protobuf/DescriptorProtos$MessageOptions$Builder;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.app.BackStackRecord.replace(ILandroid/support/v4/app/Fragment;Ljava/lang/String;)Landroid/support/v4/app/FragmentTransaction;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.text.TextDirectionHeuristicsCompat$TextDirectionAlgorithm.checkRtl(Ljava/lang/CharSequence;II)I	1
cn.amazon.mShop.android	8.5.0.600	android.content.SharedPreferences$Editor.apply()V	104
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.drive.internal.DeleteResourceRequest.<init>(ILcom/google/android/gms/drive/DriveId;)V	1
cn.amazon.mShop.android	8.5.0.600	android.graphics.Canvas.drawLine(FFFFLandroid/graphics/Paint;)V	12
cn.amazon.mShop.android	8.5.0.600	android.support.v4.app.FragmentManagerImpl.makeInactive(Landroid/support/v4/app/Fragment;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.widget.TabLayout$TabView.access$800(Landroid/support/design/widget/TabLayout$TabView;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.gson.stream.JsonReader.readEscapeCharacter()C	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.internal.l.e(Lcom/google/android/gms/common/internal/k;ILjava/lang/String;Landroid/os/Bundle;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.internal.NavigationMenuView.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.Toolbar.hasExpandedActionView()Z	1
cn.amazon.mShop.android	8.5.0.600	com.google.gson.internal.UnsafeAllocator.create()Lcom/google/gson/internal/UnsafeAllocator;	1
cn.amazon.mShop.android	8.5.0.600	com.google.gson.internal.bind.TypeAdapters$6.<init>()V	1
