id	app	version	sdk_min	sdk_trg	check	method	apis	message	modified_files
21	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 14	com.a9.cameralibrary.FragmentA9CameraPreview.setHigherFrameRate()V	android.hardware.Camera$Parameters.setRecordingHint(Z)V		0
23	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 14	com.a9.cameralibrary.FragmentA9CameraPreview.setHigherFrameRate()V			0
25	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 23	com.a9.cameralibrary.util.PermissionUtils.hasCameraPermissions(Landroid/app/Activity;)Z	android.content.ContextWrapper.checkSelfPermission(Ljava/lang/String;)I		0
27	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 23	com.a9.cameralibrary.util.PermissionUtils.hasCameraPermissions(Landroid/app/Activity;)Z			0
29	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 16	com.a9.creditcardreaderlibrary.CreditCardReaderFragment$2.onGlobalLayout()V	android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeGlobalOnLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V		0
31	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 16	com.a9.creditcardreaderlibrary.CreditCardReaderFragment$2.onGlobalLayout()V	android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeOnGlobalLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V		0
33	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 16	com.a9.giftcardreaderlibrary.GiftCardReaderFragment$1.onGlobalLayout()V	android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeOnGlobalLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V		0
35	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 16	com.a9.giftcardreaderlibrary.GiftCardReaderFragment$1.onGlobalLayout()V	android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeGlobalOnLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V		0
37	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 11	com.a9.mobile.api.DataUploadManager.doDataUpload(Lcom/a9/mobile/api/DataUploadManager$DataUploadParams;)V	android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;		0
39	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 11	com.a9.mobile.api.DataUploadManager.doDataUpload(Lcom/a9/mobile/api/DataUploadManager$DataUploadParams;)V	android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;		0
41	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 12	com.amazon.ansel.fetch.BitmapUtil.getBitmapByteCount(Landroid/graphics/Bitmap;)I	android.graphics.Bitmap.getRowBytes()I&android.graphics.Bitmap.getHeight()I		0
43	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 19	com.amazon.ansel.fetch.BitmapUtil.getBitmapByteCount(Landroid/graphics/Bitmap;)I	android.graphics.Bitmap.getAllocationByteCount()I		0
45	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 19	com.amazon.ansel.fetch.BitmapUtil.getBitmapByteCount(Landroid/graphics/Bitmap;)I	android.graphics.Bitmap.getByteCount()I&android.graphics.Bitmap.getRowBytes()I&android.graphics.Bitmap.getHeight()I		0
47	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 12	com.amazon.ansel.fetch.BitmapUtil.getBitmapByteCount(Landroid/graphics/Bitmap;)I	android.graphics.Bitmap.getByteCount()I		0
49	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 14	com.amazon.ansel.fetch.LoaderContext.createDefaultExecutor(Ljava/util/concurrent/BlockingQueue;)Ljava/util/concurrent/ThreadPoolExecutor;			0
51	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 14	com.amazon.ansel.fetch.LoaderContext.createDefaultExecutor(Ljava/util/concurrent/BlockingQueue;)Ljava/util/concurrent/ThreadPoolExecutor;			0
53	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 11	com.amazon.ansel.fetch.LoaderContext.getDefaultPrimaryCacheMemSize(Landroid/content/Context;)I			0
55	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 11	com.amazon.ansel.fetch.LoaderContext.getDefaultPrimaryCacheMemSize(Landroid/content/Context;)I	android.content.Context.getApplicationInfo()Landroid/content/pm/ApplicationInfo;&android.app.ActivityManager.getLargeMemoryClass()I		0
57	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 21	com.amazon.client.metrics.nexus.JobUploadScheduler.schedule(Landroid/content/Context;Ljava/lang/String;)V	android.util.Log.w(Ljava/lang/String;Ljava/lang/String;)I		0
59	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 21	com.amazon.client.metrics.nexus.JobUploadScheduler.schedule(Landroid/content/Context;Ljava/lang/String;)V	android.os.PersistableBundle.<init>()V&android.app.job.JobScheduler.schedule(Landroid/app/job/JobInfo;)I&android.app.job.JobInfo$Builder.build()Landroid/app/job/JobInfo;&android.app.job.JobScheduler.getAllPendingJobs()Ljava/util/List;&android.app.job.JobInfo$Builder.<init>(ILandroid/content/ComponentName;)V&android.content.Context.getSystemService(Ljava/lang/String;)Ljava/lang/Object;&android.util.Log.i(Ljava/lang/String;Ljava/lang/String;)I&android.os.BaseBundle.putString(Ljava/lang/String;Ljava/lang/String;)V&android.app.job.JobInfo$Builder.setPeriodic(J)Landroid/app/job/JobInfo$Builder;&android.app.job.JobInfo$Builder.setRequiresCharging(Z)Landroid/app/job/JobInfo$Builder;&android.content.ComponentName.<init>(Landroid/content/Context;Ljava/lang/Class;)V&android.app.job.JobInfo.getId()I&android.app.job.JobInfo$Builder.setExtras(Landroid/os/PersistableBundle;)Landroid/app/job/JobInfo$Builder;&android.content.Context.getApplicationContext()Landroid/content/Context;&android.util.Log.wtf(Ljava/lang/String;Ljava/lang/String;)I&android.app.job.JobInfo$Builder.setRequiresDeviceIdle(Z)Landroid/app/job/JobInfo$Builder;&android.app.job.JobInfo$Builder.setPersisted(Z)Landroid/app/job/JobInfo$Builder;&android.app.job.JobInfo$Builder.setRequiredNetworkType(I)Landroid/app/job/JobInfo$Builder;		0
61	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 18	com.amazon.client.metrics.nexus.NexusEventStorageDAL$EventWriterHandler.init(Lcom/amazon/client/metrics/nexus/EventStorageConfiguration;)V	android.os.Handler.getLooper()Landroid/os/Looper;&android.os.Looper.quitSafely()V		0
63	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 18	com.amazon.client.metrics.nexus.NexusEventStorageDAL$EventWriterHandler.init(Lcom/amazon/client/metrics/nexus/EventStorageConfiguration;)V	android.os.Handler.getLooper()Landroid/os/Looper;&android.os.Looper.quit()V		0
65	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 21	com.amazon.client.metrics.nexus.RecorderConfig$Builder.build()Lcom/amazon/client/metrics/nexus/RecorderConfig;	android.util.Log.w(Ljava/lang/String;Ljava/lang/String;)I		0
67	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 21	com.amazon.client.metrics.nexus.RecorderConfig$Builder.build()Lcom/amazon/client/metrics/nexus/RecorderConfig;	android.util.Log.w(Ljava/lang/String;Ljava/lang/String;)I		0
69	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 21	com.amazon.client.metrics.nexus.UploadSchedulerFactory.createJobSchedulerUploadScheduler(Lcom/amazon/client/metrics/nexus/JobUploadSchedulerConfig;)Lcom/amazon/client/metrics/nexus/UploadScheduler;			0
71	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 21	com.amazon.client.metrics.nexus.UploadSchedulerFactory.createJobSchedulerUploadScheduler(Lcom/amazon/client/metrics/nexus/JobUploadSchedulerConfig;)Lcom/amazon/client/metrics/nexus/UploadScheduler;	android.util.Log.w(Ljava/lang/String;Ljava/lang/String;)I		0
73	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.AdLayout.loadAdWhenParentViewMissing()Z	android.content.pm.PackageManager.getApplicationLabel(Landroid/content/pm/ApplicationInfo;)Ljava/lang/CharSequence;&android.webkit.CookieManager.setCookie(Ljava/lang/String;Ljava/lang/String;)V&android.view.View.setScrollContainer(Z)V&android.view.View.getLayoutParams()Landroid/view/ViewGroup$LayoutParams;&android.content.Context.getApplicationInfo()Landroid/content/pm/ApplicationInfo;&android.view.View.getHeight()I&android.webkit.CookieManager.getInstance()Landroid/webkit/CookieManager;&android.webkit.WebView.setWebViewClient(Landroid/webkit/WebViewClient;)V&android.content.Context.getSystemService(Ljava/lang/String;)Ljava/lang/Object;&android.view.View.setLayerType(ILandroid/graphics/Paint;)V&android.content.Context.getApplicationContext()Landroid/content/Context;&android.telephony.TelephonyManager.getNetworkOperatorName()Ljava/lang/String;&android.webkit.WebView.setLayoutParams(Landroid/view/ViewGroup$LayoutParams;)V&android.widget.FrameLayout.<init>(Landroid/content/Context;)V&android.webkit.WebView.getSettings()Landroid/webkit/WebSettings;&android.view.View.setContentDescription(Ljava/lang/CharSequence;)V&android.view.View.setHorizontalScrollBarEnabled(Z)V&android.webkit.WebView.setWebChromeClient(Landroid/webkit/WebChromeClient;)V&android.view.View.setOnKeyListener(Landroid/view/View$OnKeyListener;)V&android.webkit.WebView.<init>(Landroid/content/Context;)V&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.view.Display.getMetrics(Landroid/util/DisplayMetrics;)V&android.widget.TextView.<init>(Landroid/content/Context;)V&android.view.View.getVisibility()I&android.webkit.WebSettings.getUserAgentString()Ljava/lang/String;&android.widget.TextView.setGravity(I)V&android.webkit.WebSettings.setMediaPlaybackRequiresUserGesture(Z)V&android.content.Context.getPackageName()Ljava/lang/String;&android.widget.TextView.setText(Ljava/lang/CharSequence;)V&android.view.View.isInEditMode()Z&android.webkit.WebView.setBackgroundColor(I)V&android.view.ViewGroup.removeView(Landroid/view/View;)V&android.webkit.WebSettings.setJavaScriptEnabled(Z)V&android.view.WindowManager.getDefaultDisplay()Landroid/view/Display;&android.webkit.WebViewDatabase.getInstance(Landroid/content/Context;)Landroid/webkit/WebViewDatabase;&android.content.Context.getFilesDir()Ljava/io/File;&android.webkit.WebChromeClient.<init>()V&android.webkit.WebSettings.setUserAgentString(Ljava/lang/String;)V&android.view.View.setVerticalScrollBarEnabled(Z)V&android.webkit.WebViewClient.<init>()V&android.view.View.setLayoutParams(Landroid/view/ViewGroup$LayoutParams;)V&android.view.View.getContext()Landroid/content/Context;&android.view.ViewGroup.addView(Landroid/view/View;)V&android.content.pm.PackageManager.getPackageInfo(Ljava/lang/String;I)Landroid/content/pm/PackageInfo;&android.webkit.WebSettings.setDomStorageEnabled(Z)V&android.webkit.CookieSyncManager.createInstance(Landroid/content/Context;)Landroid/webkit/CookieSyncManager;&android.util.DisplayMetrics.<init>()V&android.view.View.getWidth()I&android.widget.FrameLayout$LayoutParams.<init>(II)V&android.view.View.requestFocus()Z		0
75	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.AdLayout.loadAdWhenParentViewMissing()Z	android.content.pm.PackageManager.getApplicationLabel(Landroid/content/pm/ApplicationInfo;)Ljava/lang/CharSequence;&android.webkit.CookieManager.setCookie(Ljava/lang/String;Ljava/lang/String;)V&android.view.View.setScrollContainer(Z)V&android.content.Context.getApplicationInfo()Landroid/content/pm/ApplicationInfo;&android.view.View.getLayoutParams()Landroid/view/ViewGroup$LayoutParams;&android.view.View.getHeight()I&android.webkit.CookieManager.getInstance()Landroid/webkit/CookieManager;&android.webkit.WebView.setWebViewClient(Landroid/webkit/WebViewClient;)V&android.content.Context.getSystemService(Ljava/lang/String;)Ljava/lang/Object;&android.view.View.setLayerType(ILandroid/graphics/Paint;)V&android.content.Context.getApplicationContext()Landroid/content/Context;&android.telephony.TelephonyManager.getNetworkOperatorName()Ljava/lang/String;&android.webkit.WebView.setLayoutParams(Landroid/view/ViewGroup$LayoutParams;)V&android.widget.FrameLayout.<init>(Landroid/content/Context;)V&android.webkit.WebView.getSettings()Landroid/webkit/WebSettings;&android.view.View.setContentDescription(Ljava/lang/CharSequence;)V&android.view.View.setHorizontalScrollBarEnabled(Z)V&android.webkit.WebView.setWebChromeClient(Landroid/webkit/WebChromeClient;)V&android.view.View.setOnKeyListener(Landroid/view/View$OnKeyListener;)V&android.view.View.findViewById(I)Landroid/view/View;&android.webkit.WebView.<init>(Landroid/content/Context;)V&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.app.Activity.getWindow()Landroid/view/Window;&android.view.Display.getMetrics(Landroid/util/DisplayMetrics;)V&android.widget.TextView.<init>(Landroid/content/Context;)V&android.view.View.getVisibility()I&android.webkit.WebSettings.getUserAgentString()Ljava/lang/String;&android.widget.TextView.setGravity(I)V&android.webkit.WebSettings.setMediaPlaybackRequiresUserGesture(Z)V&android.view.View.addOnLayoutChangeListener(Landroid/view/View$OnLayoutChangeListener;)V&android.content.Context.getPackageName()Ljava/lang/String;&android.widget.TextView.setText(Ljava/lang/CharSequence;)V&android.view.View.isInEditMode()Z&android.webkit.WebView.setBackgroundColor(I)V&android.view.ViewGroup.removeView(Landroid/view/View;)V&android.webkit.WebSettings.setJavaScriptEnabled(Z)V&android.view.WindowManager.getDefaultDisplay()Landroid/view/Display;&android.webkit.WebViewDatabase.getInstance(Landroid/content/Context;)Landroid/webkit/WebViewDatabase;&android.content.Context.getFilesDir()Ljava/io/File;&android.webkit.WebChromeClient.<init>()V&android.webkit.WebSettings.setUserAgentString(Ljava/lang/String;)V&android.view.View.setVerticalScrollBarEnabled(Z)V&android.view.View.isLayoutRequested()Z&android.content.ContextWrapper.getBaseContext()Landroid/content/Context;&android.webkit.WebViewClient.<init>()V&android.view.View.setLayoutParams(Landroid/view/ViewGroup$LayoutParams;)V&android.view.View.getContext()Landroid/content/Context;&android.view.ViewGroup.addView(Landroid/view/View;)V&android.content.pm.PackageManager.getPackageInfo(Ljava/lang/String;I)Landroid/content/pm/PackageInfo;&android.webkit.WebSettings.setDomStorageEnabled(Z)V&android.webkit.CookieSyncManager.createInstance(Landroid/content/Context;)Landroid/webkit/CookieSyncManager;&android.util.DisplayMetrics.<init>()V&android.view.View.getWidth()I&android.view.Window.getDecorView()Landroid/view/View;&android.view.View.getRootView()Landroid/view/View;&android.widget.FrameLayout$LayoutParams.<init>(II)V&android.view.View.requestFocus()Z		0
77	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.AdUtils$AdUtilsExecutor.getViewportInitialScale(D)D			0
79	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.AdUtils$AdUtilsExecutor.getViewportInitialScale(D)D			0
81	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.AndroidTargetUtils.enableWebViewDebugging(Z)V			0
83	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.AndroidTargetUtils.enableWebViewDebugging(Z)V			0
85	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.AndroidTargetUtils.executeAsyncTask(Lcom/amazon/device/ads/ThreadUtils$MobileAdsAsyncTask;[Ljava/lang/Object;)V	android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;		0
87	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.AndroidTargetUtils.executeAsyncTask(Lcom/amazon/device/ads/ThreadUtils$MobileAdsAsyncTask;[Ljava/lang/Object;)V	android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;		0
89	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.AndroidTargetUtils.isAdTransparent(Landroid/view/View;)Z			0
91	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.AndroidTargetUtils.isAdTransparent(Landroid/view/View;)Z	android.view.View.getAlpha()F		0
93	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.AndroidTargetUtils.isAtLeastAndroidAPI(I)Z			0
95	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.AndroidTargetUtils.isAtLeastAndroidAPI(I)Z			0
97	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.AndroidTargetUtils.setImageButtonAlpha(Landroid/widget/ImageButton;I)V	android.widget.ImageView.setAlpha(I)V		0
99	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.AndroidTargetUtils.setImageButtonAlpha(Landroid/widget/ImageButton;I)V	android.widget.ImageView.setImageAlpha(I)V		0
101	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.MRAIDAdSDKBridge.createCalendarEvent(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V			0
103	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.MRAIDAdSDKBridge.createCalendarEvent(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V	android.content.Context.startActivity(Landroid/content/Intent;)V&android.content.Intent.<init>(Ljava/lang/String;)V&android.content.Intent.putExtra(Ljava/lang/String;J)Landroid/content/Intent;&android.content.Intent.putExtra(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;&android.content.Intent.setType(Ljava/lang/String;)Landroid/content/Intent;		0
105	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.ViewManager.removePreviousInterfaces()V	android.webkit.CookieManager.setCookie(Ljava/lang/String;Ljava/lang/String;)V&android.view.View.setScrollContainer(Z)V&android.view.View.getLayoutParams()Landroid/view/ViewGroup$LayoutParams;&android.webkit.WebView.setBackgroundColor(I)V&android.view.ViewGroup.removeView(Landroid/view/View;)V&android.webkit.WebSettings.setJavaScriptEnabled(Z)V&android.webkit.CookieManager.getInstance()Landroid/webkit/CookieManager;&android.webkit.WebView.setWebViewClient(Landroid/webkit/WebViewClient;)V&android.webkit.WebChromeClient.<init>()V&android.view.View.setLayerType(ILandroid/graphics/Paint;)V&android.webkit.WebSettings.setUserAgentString(Ljava/lang/String;)V&android.content.Context.getApplicationContext()Landroid/content/Context;&android.webkit.WebView.setLayoutParams(Landroid/view/ViewGroup$LayoutParams;)V&android.view.View.setVerticalScrollBarEnabled(Z)V&android.webkit.WebView.getSettings()Landroid/webkit/WebSettings;&android.webkit.WebViewClient.<init>()V&android.view.View.getContext()Landroid/content/Context;&android.view.ViewGroup.addView(Landroid/view/View;)V&android.webkit.WebSettings.setDomStorageEnabled(Z)V&android.view.View.setContentDescription(Ljava/lang/CharSequence;)V&android.webkit.CookieSyncManager.createInstance(Landroid/content/Context;)Landroid/webkit/CookieSyncManager;&android.view.View.setHorizontalScrollBarEnabled(Z)V&android.webkit.WebView.setWebChromeClient(Landroid/webkit/WebChromeClient;)V&android.view.View.setOnKeyListener(Landroid/view/View$OnKeyListener;)V&android.webkit.WebView.<init>(Landroid/content/Context;)V&android.webkit.WebSettings.getUserAgentString()Ljava/lang/String;&android.widget.FrameLayout$LayoutParams.<init>(II)V&android.webkit.WebSettings.setMediaPlaybackRequiresUserGesture(Z)V&android.view.View.requestFocus()Z		0
107	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.ViewManager.removePreviousInterfaces()V	android.webkit.WebView.removeJavascriptInterface(Ljava/lang/String;)V		0
109	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.ViewabilityObserver.<init>(Lcom/amazon/device/ads/AdController;Lcom/amazon/device/ads/ViewabilityCheckerFactory;Lcom/amazon/device/ads/MobileAdsLoggerFactory;Lcom/amazon/device/ads/AmazonOnGlobalFocusChangeListenerFactory;Lcom/amazon/device/ads/AmazonOnGlobalLayoutListenerFactory;Lcom/amazon/device/ads/AmazonOnScrollChangedListenerFactory;Lcom/amazon/device/ads/AmazonOnWindowFocusChangeListenerFactory;Ljava/util/concurrent/atomic/AtomicInteger;Ljava/util/concurrent/atomic/AtomicBoolean;Lcom/amazon/device/ads/ViewUtils;Lcom/amazon/device/ads/DebugProperties;Lcom/amazon/device/ads/Configuration;)V			0
111	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.ViewabilityObserver.<init>(Lcom/amazon/device/ads/AdController;Lcom/amazon/device/ads/ViewabilityCheckerFactory;Lcom/amazon/device/ads/MobileAdsLoggerFactory;Lcom/amazon/device/ads/AmazonOnGlobalFocusChangeListenerFactory;Lcom/amazon/device/ads/AmazonOnGlobalLayoutListenerFactory;Lcom/amazon/device/ads/AmazonOnScrollChangedListenerFactory;Lcom/amazon/device/ads/AmazonOnWindowFocusChangeListenerFactory;Ljava/util/concurrent/atomic/AtomicInteger;Ljava/util/concurrent/atomic/AtomicBoolean;Lcom/amazon/device/ads/ViewUtils;Lcom/amazon/device/ads/DebugProperties;Lcom/amazon/device/ads/Configuration;)V			0
113	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.ViewabilityObserver.addObserversIfNeeded()V	android.view.ViewTreeObserver.addOnWindowFocusChangeListener(Landroid/view/ViewTreeObserver$OnWindowFocusChangeListener;)V		0
115	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.ViewabilityObserver.addObserversIfNeeded()V			0
117	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.ViewabilityObserver.removeObservers()V	android.view.ViewTreeObserver.removeOnWindowFocusChangeListener(Landroid/view/ViewTreeObserver$OnWindowFocusChangeListener;)V		0
119	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT < 0	com.amazon.device.ads.ViewabilityObserver.removeObservers()V			0
121	cn.amazon.mShop.android	8.5.0.600	16	24	SDK_INT >= 0	com.amazon.device.ads.ViewabilityOverlapCalculator.findOverlapppingViews(Lcom/amazon/device/ads/ViewabilityOverlapCalculator$Rectangle;ILandroid/view/ViewGroup;Ljava/util/List;Z)V	android.view.ViewGroup.getChildAt(I)Landroid/view/View;&android.view.View.getLocationOnScreen([I)V&android.view.View.getAlpha()F&android.graphics.Rect.height()I&android.graphics.Rect.width()I&android.view.View.getHeight()I&android.graphics.Rect.<init>()V&android.view.View.getWidth()I&android.view.View.isShown()Z&android.view.ViewGroup.indexOfChild(Landroid/view/View;)I&android.graphics.Rect.intersect(Landroid/graphics/Rect;)Z&android.view.View.getParent()Landroid/view/ViewParent;&android.view.ViewGroup.getChildCount()I		0
